id,descricao
0,Nenhum
1,Pastilha de freio
2,Falha no sistema de refrigeração
3,Falha nos amortecedores
4,Bateria ruim
5,Problemas no câmbio
6,Pane elétrica
7,Superaquecimento
8,Falta de combustível
9,Pneus furados
10,Correia dentada com muito uso
11,Falta de revisão
12,Velas e cabos
13,Falha na injeção eletrônica
14,Alternador
15,Problemas na direção
16,Alinhamento e balanceamento
17,Sistema de alimentação
18,Martelinho de ouro
19,Funilaria e Pinturia
20,Manutenção de Air Bag
21,Problema no Fluido de Freio
22,Falha no sistema de lubrificação
23,Vazamento de óleo do motor
24,Falha no ABS
25,Sistema de partida a frio
26,Combustível do reservatório
27,Revisão preventiva
28,Falha no sistema de arrefecimento
29,Falha no motor
30,Aquecimento do freio
31,Excesso de atrito nos freios
32,Falha na queima de combustível
33,Revisão urgente do motor
34,Vazamento do líquido do radiador ou fluído de freio
35,Vazamento do líquido da transmissão ou direção hidráulica
36,Vazamento do fluido de freio ou óleo do motor
37,Vazamento de óleo do motor
38,Vazamento de Combustível
39,Vazamento de água
40,Falha no sistema de Ignição
41,Sensor de Cambota
42,Falha na Chave de Ignição
43,Falha nas Articulações e transmissão
