marca,ano,modelo,barulho_estranho,carro_ligado_parado,barulho_durante_partida,barulho_girando_volante,barulho_engate_marcha,barulho_ligado_movimento,barulho_pisa_freio,barulho_rodas,barulho_rodas_constantes,barulho_rodas_intermitente,barulho_lombadas,carro_sem_forca,barulho_aceleracao,motor_girando_lentamente,motor_girando_normal,problema
Fiat,2014,Uno,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4
Fiat,2015,Uno,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,15
Fiat,2016,Uno,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5
Fiat,2017,Uno,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Fiat,2018,Uno,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3
Fiat,2019,Uno,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,9
Volkswagen,2014,Golf,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,3
Volkswagen,2015,Golf,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12
Volkswagen,2016,Golf,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,10
Volkswagen,2017,Golf,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5
Volkswagen,2018,Golf,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,16
Volkswagen,2019,Golf,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,12
Ford,2014,Fiesta,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,16
Ford,2015,Fiesta,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,9
Ford,2016,Fiesta,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,5
Ford,2017,Fiesta,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,15
Ford,2018,Fiesta,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4
Ford,2019,Fiesta,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1
Ford,2014,Fiesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford,2015,Golf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford,2016,Uno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
